species,iucn,redlist,vals,vals1,spcode
Collared Dove Streptopelia decaocto,NT,1996,G,G,coldo
Collared Dove Streptopelia decaocto,NT,2002,G,G,coldo
Collared Dove Streptopelia decaocto,NT,2009,G,G,coldo
Collared Dove Streptopelia decaocto,NT,2015,G,G,coldo
Collared Dove Streptopelia decaocto,NT,2021,G,G,coldo
Wood Pigeon Columba palumbus,LC,1996,G,G,woodp
Wood Pigeon Columba palumbus,LC,2002,G,G,woodp
Wood Pigeon Columba palumbus,LC,2009,G,G,woodp
Wood Pigeon Columba palumbus,LC,2015,G,G,woodp
Wood Pigeon Columba palumbus,LC,2021,A,A,woodp
Great Spotted Woodpecker Dendrocopos major,LC,1996,G,G,greti
Great Spotted Woodpecker Dendrocopos major,LC,2002,G,G,greti
Great Spotted Woodpecker Dendrocopos major,LC,2009,G,G,greti
Great Spotted Woodpecker Dendrocopos major,LC,2015,G,G,greti
Great Spotted Woodpecker Dendrocopos major,LC,2021,G,G,greti
Magpie Pica pica,LC,1996,G,G,magpi
Magpie Pica pica,LC,2002,G,G,magpi
Magpie Pica pica,LC,2009,G,G,magpi
Magpie Pica pica,LC,2015,G,G,magpi
Magpie Pica pica,LC,2021,G,G,magpi
"‘Carrion/Hooded Crow’ Corvus coronec,d",LC,1996,G,G,carcr
"‘Carrion/Hooded Crow’ Corvus coronec,d",LC,2002,G,G,carcr
"‘Carrion/Hooded Crow’ Corvus coronec,d",LC,2009,G,G,carcr
"‘Carrion/Hooded Crow’ Corvus coronec,d",LC,2015,G,G,carcr
"‘Carrion/Hooded Crow’ Corvus coronec,d",LC,2021,G,G,carcr
Blue Tit Cyanistes caeruleus,LC,1996,G,G,bluti
Blue Tit Cyanistes caeruleus,LC,2002,G,G,bluti
Blue Tit Cyanistes caeruleus,LC,2009,G,G,bluti
Blue Tit Cyanistes caeruleus,LC,2015,G,G,bluti
Blue Tit Cyanistes caeruleus,LC,2021,G,G,bluti
Coal Tit Periparus ater,LC,1996,G,G,coati
Coal Tit Periparus ater,LC,2002,G,G,coati
Coal Tit Periparus ater,LC,2009,G,G,coati
Coal Tit Periparus ater,LC,2015,G,G,coati
Coal Tit Periparus ater,LC,2021,G,G,coati
Great Tit Parus major,LC,1996,G,G,greti
Great Tit Parus major,LC,2002,G,G,greti
Great Tit Parus major,LC,2009,G,G,greti
Great Tit Parus major,LC,2015,G,G,greti
Great Tit Parus major,LC,2021,G,G,greti
Jackdaw Coloeus monedula,LC,1996,e,e,jackd
Jackdaw Coloeus monedula,LC,2002,G,G,jackd
Jackdaw Coloeus monedula,LC,2009,G,G,jackd
Jackdaw Coloeus monedula,LC,2015,G,G,jackd
Jackdaw Coloeus monedula,LC,2021,G,G,jackd
Long-tailed Tit Aegithalos caudatus,LC,1996,G,G,lotti
Long-tailed Tit Aegithalos caudatus,LC,2002,G,G,lotti
Long-tailed Tit Aegithalos caudatus,LC,2009,G,G,lotti
Long-tailed Tit Aegithalos caudatus,LC,2015,G,G,lotti
Long-tailed Tit Aegithalos caudatus,LC,2021,G,G,lotti
Blackbird Turdus merula,LC,1996,A,A,blabi
Blackbird Turdus merula,LC,2002,G,G,blabi
Blackbird Turdus merula,LC,2009,G,G,blabi
Blackbird Turdus merula,LC,2015,G,G,blabi
Blackbird Turdus merula,LC,2021,G,G,blabi
Common Chaffinch Fringilla coelebs,EN,1996,G,G,chaff
Common Chaffinch Fringilla coelebs,EN,2002,G,G,chaff
Common Chaffinch Fringilla coelebs,EN,2009,G,G,chaff
Common Chaffinch Fringilla coelebs,EN,2015,G,G,chaff
Common Chaffinch Fringilla coelebs,EN,2021,G,G,chaff
Common Starling Sturnus vulgaris,VU,1996,A,A,starl
Common Starling Sturnus vulgaris,VU,2002,R,R,starl
Common Starling Sturnus vulgaris,VU,2009,R,R,starl
Common Starling Sturnus vulgaris,VU,2015,R,R,starl
Common Starling Sturnus vulgaris,VU,2021,R,R,starl
Dunnock Prunella modularis,LC,1996,A,A,dunno
Dunnock Prunella modularis,LC,2002,A,A,dunno
Dunnock Prunella modularis,LC,2009,A,A,dunno
Dunnock Prunella modularis,LC,2015,A,A,dunno
Dunnock Prunella modularis,LC,2021,A,A,dunno
House Sparrow Passer domesticus,LC,1996,G,G,housp
House Sparrow Passer domesticus,LC,2002,R,R,housp
House Sparrow Passer domesticus,LC,2009,R,R,housp
House Sparrow Passer domesticus,LC,2015,R,R,housp
House Sparrow Passer domesticus,LC,2021,R,R,housp
Robin Erithacus rubecula,LC,1996,G,G,robin
Robin Erithacus rubecula,LC,2002,G,G,robin
Robin Erithacus rubecula,LC,2009,G,G,robin
Robin Erithacus rubecula,LC,2015,G,G,robin
Robin Erithacus rubecula,LC,2021,G,G,robin
Song Thrush Turdus philomelos,LC,1996,R,R,sonth
Song Thrush Turdus philomelos,LC,2002,R,R,sonth
Song Thrush Turdus philomelos,LC,2009,R,R,sonth
Song Thrush Turdus philomelos,LC,2015,R,R,sonth
Song Thrush Turdus philomelos,LC,2021,A,A,sonth
Wren Troglodytes troglodytes,LC,1996,G,G,wren.
Wren Troglodytes troglodytes,LC,2002,G,G,wren.
Wren Troglodytes troglodytes,LC,2009,G,G,wren.
Wren Troglodytes troglodytes,LC,2015,G,G,wren.
Wren Troglodytes troglodytes,LC,2021,A,A,wren.
Goldfinch Carduelis carduelis,LC,1996,A,A,goldf
Goldfinch Carduelis carduelis,LC,2002,G,G,goldf
Goldfinch Carduelis carduelis,LC,2009,G,G,goldf
Goldfinch Carduelis carduelis,LC,2015,G,G,goldf
Goldfinch Carduelis carduelis,LC,2021,G,G,goldf
Greenfinch Chloris chloris,EN,1996,G,G,grefi
Greenfinch Chloris chloris,EN,2002,G,G,grefi
Greenfinch Chloris chloris,EN,2009,G,G,grefi
Greenfinch Chloris chloris,EN,2015,G,G,grefi
Greenfinch Chloris chloris,EN,2021,R,R,grefi
